epoch,value,metric,data
1,0.31504810297489166,loss,training
2,0.14289214194814365,loss,training
3,0.09855624829729398,loss,training
4,0.07247738673289617,loss,training
5,0.057419791392982006,loss,training
6,0.0460905851436158,loss,training
7,0.03662009846419096,loss,training
8,0.028935589204231896,loss,training
9,0.024151691525553663,loss,training
10,0.01952421600247423,loss,training
11,0.015507924849167467,loss,training
12,0.01271629674686119,loss,training
1,0.9100416898727417,acc,training
2,0.9589583277702332,acc,training
3,0.9711874723434448,acc,training
4,0.9788958430290222,acc,training
5,0.9830416440963745,acc,training
6,0.9863541722297668,acc,training
7,0.9894999861717224,acc,training
8,0.9916250109672546,acc,training
9,0.9930208325386047,acc,training
10,0.9944166541099548,acc,training
11,0.9961249828338623,acc,training
12,0.9966458082199097,acc,training
1,0.18518739823500316,loss,validation
2,0.11698744471867879,loss,validation
3,0.10622301472226779,loss,validation
4,0.09555832046270371,loss,validation
5,0.08485185156265894,loss,validation
6,0.08133020067214966,loss,validation
7,0.08212627272307872,loss,validation
8,0.08417124566435814,loss,validation
9,0.08427300722400348,loss,validation
10,0.0823876384869218,loss,validation
11,0.0840189184298118,loss,validation
12,0.0942005665153265,loss,validation
1,0.9465833306312561,acc,validation
2,0.9661666750907898,acc,validation
3,0.9695000052452087,acc,validation
4,0.9709166884422302,acc,validation
5,0.9727500081062317,acc,validation
6,0.9756666421890259,acc,validation
7,0.9761666655540466,acc,validation
8,0.9760000109672546,acc,validation
9,0.9768333435058594,acc,validation
10,0.9769999980926514,acc,validation
11,0.9775833487510681,acc,validation
12,0.9760000109672546,acc,validation
